version,release_date,expiration_date,expiration_days,previous_expiration_days,previous_release_days
38.0,2015-05-12,2015-07-04,53.43,none,none
38.0esr,2015-05-12,2015-07-04,53.43,53.43,0.00
38.0.1esr,2015-05-14,2015-07-04,51.43,51.43,2.00
38.1.0esr,2015-07-02,2015-07-04,2.43,2.43,49.00
38.1.1esr,2015-08-06,2015-07-04,-32.57,-32.57,35.00
38.2.0esr,2015-08-11,2015-11-12,93.12,-37.57,5.00
38.2.1esr,2015-08-27,2015-11-12,77.12,77.12,16.00
38.3.0esr,2015-09-22,2015-12-19,88.44,51.12,26.00
38.4.0esr,2015-11-03,2016-01-30,88.44,46.44,42.00
38.5.0esr,2015-12-15,2016-02-20,67.49,46.44,42.00
38.5.1esr,2015-12-21,2016-02-20,61.49,61.49,6.00
38.5.2esr,2015-12-22,2016-02-20,60.49,60.49,1.00
38.6.0esr,2016-01-26,2016-04-23,88.49,25.49,35.00
38.6.1esr,2016-02-11,2016-04-23,72.49,72.49,16.00
38.7.0esr,2016-03-08,2016-04-30,53.49,46.49,26.00
45.0esr,2016-03-08,2016-04-30,53.52,53.49,0.00
45.0.1esr,2016-03-16,2016-04-30,45.52,45.52,8.00
45.0.2esr,2016-04-11,2016-04-30,19.52,19.52,26.00
45.1.0esr,2016-04-26,2016-07-02,67.48,4.52,15.00
45.1.1esr,2016-05-03,2016-07-02,60.48,60.48,7.00
45.2.0esr,2016-06-07,2016-09-03,88.50,25.48,35.00
45.3.0esr,2016-08-02,2016-09-03,32.50,32.50,56.00
45.4.0esr,2016-09-20,2016-12-12,83.48,-16.50,49.00
