version,expiration_us
38.0,1436005107656000
38.0esr,1436005107656000
38.0.1esr,1436005107656000
38.1.0esr,1436005107656000
38.1.1esr,1436005107656000
38.2.0esr,1447296559005000
38.2.1esr,1447296559005000
38.3.0esr,1450521015670000
38.4.0esr,1454150236697000
38.5.0esr,1455968552302000
38.5.1esr,1455968552302000
38.5.2esr,1455968552302000
38.6.0esr,1461412086882000
38.6.1esr,1461412086882000
38.7.0esr,1462016822237000
38.7.1esr,1462016822237000
38.8.0esr,1469273938349000
45.0esr,1462018996035000
45.0.1esr,1462018996035000
45.0.2esr,1462018996035000
45.1.0esr,1467459159229000
45.1.1esr,1467459159229000
45.2.0esr,1472903978258000
45.3.0esr,1472903978258000
45.4.0esr,1481542269357000
