version,date
38.0,2015-05-12
38.0esr,2015-05-12
38.0.1esr,2015-05-14
38.1.0esr,2015-07-02
38.1.1esr,2015-08-06
38.2.0esr,2015-08-11
38.2.1esr,2015-08-27
38.3.0esr,2015-09-22
38.4.0esr,2015-11-03
38.5.0esr,2015-12-15
38.5.1esr,2015-12-21
38.5.2esr,2015-12-22
38.6.0esr,2016-01-26
38.6.1esr,2016-02-11
38.7.0esr,2016-03-08
45.0esr,2016-03-08
45.0.1esr,2016-03-16
45.0.2esr,2016-04-11
45.1.0esr,2016-04-26
45.1.1esr,2016-05-03
45.2.0esr,2016-06-07
45.3.0esr,2016-08-02
45.4.0esr,2016-09-20
45.5.0esr,2016-11-15
45.5.1esr,2016-11-30
45.6.0esr,2016-12-13
45.7.0esr,2017-01-24
