version,release_date,expiration_date,expiration_days,previous_expiration_days,previous_release_days
45.0esr,2016-03-08,2016-04-30,53.52,none,none
45.0.1esr,2016-03-16,2016-04-30,45.52,45.52,8.00
45.0.2esr,2016-04-11,2016-04-30,19.52,19.52,26.00
45.1.0esr,2016-04-26,2016-07-02,67.48,4.52,15.00
45.1.1esr,2016-05-03,2016-07-02,60.48,60.48,7.00
45.2.0esr,2016-06-07,2016-09-03,88.50,25.48,35.00
45.3.0esr,2016-08-02,2016-09-03,32.50,32.50,56.00
45.4.0esr,2016-09-20,2016-12-12,83.48,-16.50,49.00
45.5.0esr,2016-11-15,2017-02-06,83.55,27.48,56.00
45.5.1esr,2016-11-30,2017-03-07,97.61,68.55,15.00
45.6.0esr,2016-12-13,2017-03-17,94.60,84.61,13.00
45.7.0esr,2017-01-24,2017-04-26,92.61,52.60,42.00
45.8.0esr,2017-03-07,2017-06-07,92.66,50.61,42.00
45.9.0esr,2017-04-19,2017-07-18,90.62,49.66,43.00
