version,release_date,expiration_date,expiration_days,previous_expiration_days,previous_release_days
32.0,2014-09-02,2014-10-25,53.42,none,none
32.0.1,2014-09-12,2014-10-25,43.42,43.42,10.00
32.0.2,2014-09-18,2014-10-25,37.42,37.42,6.00
32.0.3,2014-09-24,2014-10-25,31.42,31.42,6.00
33.0,2014-10-13,2014-12-06,54.42,12.42,19.00
33.0.1,2014-10-24,2014-12-06,43.42,43.42,11.00
33.0.2,2014-10-28,2014-12-06,39.42,39.42,4.00
33.0.3,2014-11-06,2014-12-06,30.42,30.42,9.00
33.1,2014-11-10,2014-12-06,26.42,26.42,4.00
33.1.1,2014-11-14,2014-12-06,22.42,22.42,4.00
34.0,2014-12-01,2015-01-17,47.42,5.42,17.00
34.0.5,2014-12-01,2015-01-17,47.42,47.42,0.00
35.0,2015-01-13,2015-02-28,46.47,4.42,43.00
35.0.1,2015-01-26,2015-02-28,33.47,33.47,13.00
36.0,2015-02-24,2015-04-18,53.47,4.47,29.00
36.0.1,2015-03-05,2015-04-18,44.47,44.47,9.00
36.0.3,2015-03-20,2015-04-18,29.47,29.47,15.00
36.0.4,2015-03-21,2015-04-18,28.47,28.47,1.00
37.0,2015-03-31,2015-05-30,60.47,18.47,10.00
37.0.1,2015-04-03,2015-05-30,57.47,57.47,3.00
37.0.2,2015-04-20,2015-05-30,40.47,40.47,17.00
38.0,2015-05-12,2015-07-04,53.43,18.47,22.00
38.0.1,2015-05-14,2015-07-04,51.43,51.43,2.00
38.0.5,2015-06-02,2015-07-04,32.43,32.43,19.00
39.0,2015-07-02,2015-08-15,44.43,2.43,30.00
39.0.3,2015-08-06,2015-08-15,9.43,9.43,35.00
40.0,2015-08-11,2015-10-03,53.43,4.43,5.00
40.0.2,2015-08-13,2015-10-03,51.43,51.43,2.00
40.0.3,2015-08-27,2015-10-03,37.43,37.43,14.00
41.0,2015-09-22,2015-11-14,53.43,11.43,26.00
41.0.1,2015-09-30,2015-11-14,45.43,45.43,8.00
41.0.2,2015-10-15,2015-11-14,30.43,30.43,15.00
42.0,2015-11-03,2015-12-26,53.44,11.43,19.00
43.0,2015-12-15,2016-01-30,46.44,11.44,42.00
43.0.1,2015-12-18,2016-01-30,43.44,43.44,3.00
43.0.2,2015-12-22,2016-01-30,39.44,39.44,4.00
43.0.3,2015-12-28,2016-01-30,33.44,33.44,6.00
43.0.4,2016-01-06,2016-01-30,24.44,24.44,9.00
44.0,2016-01-26,2016-02-27,32.49,4.44,20.00
44.0.1,2016-02-08,2016-02-27,19.49,19.49,13.00
44.0.2,2016-02-11,2016-02-27,16.49,16.49,3.00
45.0,2016-03-08,2016-04-30,53.52,-9.51,26.00
45.0.1,2016-03-16,2016-04-30,45.52,45.52,8.00
45.0.2,2016-04-11,2016-04-30,19.52,19.52,26.00
46.0,2016-04-26,2016-06-12,47.47,4.52,15.00
46.0.1,2016-05-03,2016-06-12,40.47,40.47,7.00
47.0,2016-06-07,2016-07-30,53.49,5.47,35.00
47.0.1,2016-06-28,2016-07-30,32.49,32.49,21.00
48.0,2016-08-02,2016-09-10,39.50,-2.51,35.00
48.0.1,2016-08-18,2016-09-10,23.50,23.50,16.00
48.0.2,2016-08-24,2016-09-10,17.50,17.50,6.00
49.0,2016-09-20,2016-12-17,88.53,-9.50,27.00
49.0.1,2016-09-23,2016-12-17,85.53,85.53,3.00
49.0.2,2016-10-20,2016-12-17,58.53,58.53,27.00
47.0.2,2016-11-01,2016-11-29,28.02,46.53,12.00
50.0,2016-11-15,2017-02-14,91.87,14.02,14.00
50.0.1,2016-11-28,2017-02-14,78.87,78.87,13.00
50.0.2,2016-11-30,2017-02-14,76.87,76.87,2.00
