version,expiration_s,expiration_us,expiration_iso
4.5a1,1419674828.47,1419674828470000,2014-12-27T10:07:08.470000Z
4.5a2,1419674828.47,1419674828470000,2014-12-27T10:07:08.470000Z
4.5a3,1419674828.47,1419674828470000,2014-12-27T10:07:08.470000Z
4.5a4,1419674828.47,1419674828470000,2014-12-27T10:07:08.470000Z
4.5a5,1419674828.47,1419674828470000,2014-12-27T10:07:08.470000Z
4.5,1419674828.47,1419674828470000,2014-12-27T10:07:08.470000Z
4.5.1,1419674828.47,1419674828470000,2014-12-27T10:07:08.470000Z
5.0a1,1419674828.47,1419674828470000,2014-12-27T10:07:08.470000Z
4.5.2,1419674828.47,1419674828470000,2014-12-27T10:07:08.470000Z
5.0a2,1419674828.47,1419674828470000,2014-12-27T10:07:08.470000Z
4.5.3,1419674828.47,1419674828470000,2014-12-27T10:07:08.470000Z
5.0a3,1436005107.656,1436005107656000,2015-07-04T10:18:27.656000Z
5.0a4,1436005107.656,1436005107656000,2015-07-04T10:18:27.656000Z
5.0,1447296559.005,1447296559005000,2015-11-12T02:49:19.005000Z
5.5a1,1447296559.005,1447296559005000,2015-11-12T02:49:19.005000Z
5.0.1,1447296559.005,1447296559005000,2015-11-12T02:49:19.005000Z
5.0.2,1447296559.005,1447296559005000,2015-11-12T02:49:19.005000Z
5.5a2,1447296559.005,1447296559005000,2015-11-12T02:49:19.005000Z
5.0.3,1450521015.67,1450521015670000,2015-12-19T10:30:15.670000Z
5.5a3,1450521015.67,1450521015670000,2015-12-19T10:30:15.670000Z
5.0.4,1454150236.697,1454150236697000,2016-01-30T10:37:16.697000Z
5.5a4,1454150236.697,1454150236697000,2016-01-30T10:37:16.697000Z
5.0.5,1455968552.302,1455968552302000,2016-02-20T11:42:32.302000Z
5.0.6,1455968552.302,1455968552302000,2016-02-20T11:42:32.302000Z
5.5a5,1455968552.302,1455968552302000,2016-02-20T11:42:32.302000Z
5.5a5-hardened,1455968552.302,1455968552302000,2016-02-20T11:42:32.302000Z
5.0.7,1455968552.302,1455968552302000,2016-02-20T11:42:32.302000Z
5.5a6,1455968552.302,1455968552302000,2016-02-20T11:42:32.302000Z
5.5a6-hardened,1455968552.302,1455968552302000,2016-02-20T11:42:32.302000Z
5.5,1461412086.882,1461412086882000,2016-04-23T11:48:06.882000Z
6.0a1,1461412086.882,1461412086882000,2016-04-23T11:48:06.882000Z
6.0a1-hardened,1461412086.882,1461412086882000,2016-04-23T11:48:06.882000Z
5.5.1,1461412086.882,1461412086882000,2016-04-23T11:48:06.882000Z
5.5.2,1461412086.882,1461412086882000,2016-04-23T11:48:06.882000Z
6.0a2,1461412086.882,1461412086882000,2016-04-23T11:48:06.882000Z
6.0a2-hardened,1461412086.882,1461412086882000,2016-04-23T11:48:06.882000Z
5.5.3,1462016822.237,1462016822237000,2016-04-30T11:47:02.237000Z
6.0a3,1462016822.237,1462016822237000,2016-04-30T11:47:02.237000Z
6.0a3-hardened,1462016822.237,1462016822237000,2016-04-30T11:47:02.237000Z
5.5.4,1462016822.237,1462016822237000,2016-04-30T11:47:02.237000Z
6.0a4,1462016822.237,1462016822237000,2016-04-30T11:47:02.237000Z
6.0a4-hardened,1462016822.237,1462016822237000,2016-04-30T11:47:02.237000Z
5.5.5,1469273938.349,1469273938349000,2016-07-23T11:38:58.349000Z
6.0a5,1467459159.229,1467459159229000,2016-07-02T11:32:39.229000Z
6.0a5-hardened,1467459159.229,1467459159229000,2016-07-02T11:32:39.229000Z
6.0,1467459159.229,1467459159229000,2016-07-02T11:32:39.229000Z
6.0.1,1472903978.258,1472903978258000,2016-09-03T11:59:38.258000Z
6.5a1,1473437156.7,1473437156700000,2016-09-09T16:05:56.700000Z
6.5a1-hardened,1473437156.7,1473437156700000,2016-09-09T16:05:56.700000Z
6.0.2,1472903978.258,1472903978258000,2016-09-03T11:59:38.258000Z
6.5a2,1473437156.7,1473437156700000,2016-09-09T16:05:56.700000Z
6.5a2-hardened,1473437156.7,1473437156700000,2016-09-09T16:05:56.700000Z
6.0.3,1472903978.258,1472903978258000,2016-09-03T11:59:38.258000Z
6.0.4,1472903978.258,1472903978258000,2016-09-03T11:59:38.258000Z
6.0.5,1481542269.357,1481542269357000,2016-12-12T11:31:09.357000Z
6.5a3,1481978914.387,1481978914387000,2016-12-17T12:48:34.387000Z
6.5a3-hardened,1481978914.387,1481978914387000,2016-12-17T12:48:34.387000Z
6.0.6,1487082474.13,1487082474130000,2017-02-14T14:27:54.130000Z
6.5a4,1487082474.13,1487082474130000,2017-02-14T14:27:54.130000Z
6.5a4-hardened,1487082474.13,1487082474130000,2017-02-14T14:27:54.130000Z
6.0.7,1488897094.671,1488897094671000,2017-03-07T14:31:34.671000Z
6.5a5,1488897094.671,1488897094671000,2017-03-07T14:31:34.671000Z
6.5a5-hardened,1488897094.671,1488897094671000,2017-03-07T14:31:34.671000Z
