version,firefox_version,date
5.0a3,38.1.0esr,2015-06-30
5.0a4,38.1.0esr,2015-08-03
5.0,38.2.0esr,2015-08-11
5.5a1,38.2.0esr,2015-08-11
5.0.1,38.2.0esr,2015-08-18
5.0.2,38.2.1esr,2015-08-27
5.5a2,38.2.1esr,2015-08-28
5.0.3,38.3.0esr,2015-09-22
5.5a3,38.3.0esr,2015-09-22
5.0.4,38.4.0esr,2015-11-03
5.5a4,38.4.0esr,2015-11-03
5.0.5,38.5.0esr,2015-12-15
5.0.6,38.5.0esr,2015-12-18
5.5a5,38.5.0esr,2015-12-18
5.5a5-hardened,38.5.0esr,2015-12-18
5.0.7,38.5.0esr,2016-01-07
5.5a6,38.5.0esr,2016-01-07
5.5a6-hardened,38.5.0esr,2016-01-07
5.5,38.6.0esr,2016-01-26
6.0a1,38.6.0esr,2016-01-27
6.0a1-hardened,38.6.0esr,2016-01-27
5.5.1,38.6.0esr,2016-02-04
5.5.2,38.6.1esr,2016-02-12
6.0a2,38.6.1esr,2016-02-15
6.0a2-hardened,38.6.1esr,2016-02-15
5.5.3,38.7.0esr,2016-03-08
6.0a3,38.7.0esr,2016-03-08
6.0a3-hardened,38.7.0esr,2016-03-08
5.5.4,38.7.1esr,2016-03-16
6.0a4,38.7.1esr,2016-03-17
6.0a4-hardened,38.7.1esr,2016-03-17
5.5.5,38.8.0esr,2016-04-26
6.0a5,45.1.0esr,2016-04-28
6.0a5-hardened,45.1.0esr,2016-04-28
6.0,45.1.1esr,2016-05-30
6.0.1,45.2.0esr,2016-06-07
6.5a1,45.2.0esr,2016-06-08
6.5a1-hardened,45.2.0esr,2016-06-08
6.0.2,45.2.0esr,2016-06-21
6.0.3,45.3.0esr,2016-08-02
6.0.4,45.3.0esr,2016-08-16
6.5a2,45.3.0esr,2016-08-03
6.5a2-hardened,45.3.0esr,2016-08-03
6.0.5,45.4.0esr,2016-09-16
6.5a3,45.4.0esr,2016-09-20
