version,release_date,expiration_date,expiration_days,previous_expiration_days,previous_release_days,firefox_version
4.5,2015-04-28,2014-12-27,-121.58,none,none,31.6.0esr
4.5.1,2015-05-12,2014-12-27,-135.58,-135.58,14.00,31.7.0esr
4.5.2,2015-06-15,2014-12-27,-169.58,-169.58,34.00,31.7.0esr
4.5.3,2015-06-30,2014-12-27,-184.58,-184.58,15.00,31.8.0esr
5.0,2015-08-11,2015-11-12,93.12,-226.58,42.00,38.2.0esr
5.0.1,2015-08-18,2015-11-12,86.12,86.12,7.00,38.2.0esr
5.0.2,2015-08-27,2015-11-12,77.12,77.12,9.00,38.2.1esr
5.0.3,2015-09-22,2015-12-19,88.44,51.12,26.00,38.3.0esr
5.0.4,2015-11-03,2016-01-30,88.44,46.44,42.00,38.4.0esr
5.0.5,2015-12-15,2016-02-20,67.49,46.44,42.00,38.5.0esr
5.0.6,2015-12-18,2016-02-20,64.49,64.49,3.00,38.5.0esr
5.0.7,2016-01-07,2016-02-20,44.49,44.49,20.00,38.5.0esr
5.5,2016-01-26,2016-04-23,88.49,25.49,19.00,38.6.0esr
5.5.1,2016-02-04,2016-04-23,79.49,79.49,9.00,38.6.0esr
5.5.2,2016-02-12,2016-04-23,71.49,71.49,8.00,38.6.1esr
5.5.3,2016-03-08,2016-04-30,53.49,46.49,25.00,38.7.0esr
5.5.4,2016-03-16,2016-04-30,45.49,45.49,8.00,38.7.1esr
5.5.5,2016-04-26,2016-07-23,88.49,4.49,41.00,38.8.0esr
6.0,2016-05-30,2016-07-02,33.48,54.49,34.00,45.1.1esr
6.0.1,2016-06-07,2016-09-03,88.50,25.48,8.00,45.2.0esr
6.0.2,2016-06-21,2016-09-03,74.50,74.50,14.00,45.2.0esr
6.0.3,2016-08-02,2016-09-03,32.50,32.50,42.00,45.3.0esr
6.0.4,2016-08-16,2016-09-03,18.50,18.50,14.00,45.3.0esr
6.0.5,2016-09-16,2016-12-12,87.48,-12.50,31.00,45.4.0esr-6.0.5
