version,firefox_version,date
4.5,31.6.0esr,2015-04-28
4.5.1,31.7.0esr,2015-05-12
4.5.2,31.7.0esr,2015-06-15
4.5.3,31.8.0esr,2015-06-30
5.0,38.2.0esr,2015-08-11
5.0.1,38.2.0esr,2015-08-18
5.0.2,38.2.1esr,2015-08-27
5.0.3,38.3.0esr,2015-09-22
5.0.4,38.4.0esr,2015-11-03
5.0.5,38.5.0esr,2015-12-15
5.0.6,38.5.0esr,2015-12-18
5.0.7,38.5.0esr,2016-01-07
5.5,38.6.0esr,2016-01-26
5.5.1,38.6.0esr,2016-02-04
5.5.2,38.6.1esr,2016-02-12
5.5.3,38.7.0esr,2016-03-08
5.5.4,38.7.1esr,2016-03-16
5.5.5,38.8.0esr,2016-04-26
6.0,45.1.1esr,2016-05-30
6.0.1,45.2.0esr,2016-06-07
6.0.2,45.2.0esr,2016-06-21
6.0.3,45.3.0esr,2016-08-02
6.0.4,45.3.0esr,2016-08-16
6.0.5,45.4.0esr-6.0.5,2016-09-16
